StockCode,Description,Category,Price
98765BD,Wooden Hanging Letter 'A',Unknown Category,75.78
54321BE,Metal Wall Art World Map,Wall Art & Signs,75.86
12345BF,Rainbow Stripe Woven Rug,Textiles & Linens,7.87
67890BG,Grey Felt Laptop Sleeve,Textiles & Linens,31.93
65432BH,Gold Star Confetti Pack,Gifts & Novelty Items,51.57
30987BI,Glass Bell Jar Display Dome,Home Decor & Furnishings,79.53
78543BJ,Set of 2 Silver Tealight Holders,Home Decor & Furnishings,67.86
56321BK,Novelty Rubber Duck Bath Toy,Gifts & Novelty Items,28.55
93207BL,Geometric Print Notebook A5,Stationery & Office,29.67
22045BM,Vintage Railway Poster Print,Wall Art & Signs,92.96
85123BN,Set/4 Coloured Plastic Tumblers,Kitchenware & Dining,38.87
71053BO,Wooden Chess Set Foldable,Unknown Category,38.71
84406BP,Miniature Terracotta Plant Pots,Garden & Outdoor,37.94
13579BQ,Green Floral Garden Gloves,Garden & Outdoor,6.78
24680BR,Metal Bicycle Photo Clip Holder,Unknown Category,63.78
86420BS,Yellow Submarine Lunch Bag,Travel Accessories,58.07
97531BT,Flamingo Print Woven Purse,Unknown Category,9.8
45678BU,Set/2 Striped Kitchen Aprons,Unknown Category,87.91
98765BV,Large Blue Ceramic Serving Bowl,Unknown Category,69.76
54321BW,Gnome Garden Statue Small,Garden & Outdoor,9.2
12345BX,Wooden Bird Feeder Kit,Garden & Outdoor,14.13
67890BY,Personalised Name Mug,Mugs & Drinkware,56.64
65432BZ,Tiny Metal Suitcase Storage Box,Storage & Organization,87.78
30987CA,Set of 4 Wooden Animal Skittles,Kids & Toys,28.46
78543CB,Rainbow Stripe Cotton Scarf,Textiles & Linens,67.84
56321CC,Silver Plated Cake Slice,Retro & Vintage,60.01
93207CD,Best Mum Hanging Plaque,Unknown Category,91.22
22045CE,Set/3 Pastel Coloured Baskets,Unknown Category,69.65
85123CF,Giant Polka Dot Beach Ball,Unknown Category,56.62
71053CG,Faux Fur Hot Water Bottle,Bath & Body,29.79
84406CH,Glass Display Dome with Base,Unknown Category,70.17
13579CI,Ceramic Vintage Car Ornament,Retro & Vintage,86.98
24680CJ,Small Woven Laundry Hamper,Storage & Organization,64.1
86420CK,Pineapple Shaped Trinket Dish,Storage & Organization,75.66
97531CL,Set/2 Reusable Shopping Totes,Storage & Organization,48.64
45678CM,Union Jack Teapot Warmer,Textiles & Linens,6.12
98765CN,Black & White Striped Rug,Textiles & Linens,61.52
54321CO,Metal Star T-Light Holder,Lighting & Candles,2.79
12345CP,Glass Skull Head Cocktail Mug,Gifts & Novelty Items,11.32
67890CQ,Miniature Wooden Bench,Home Decor & Furnishings,43.51
65432CR,Keep Calm Fridge Magnet Set,Unknown Category,66.16
30987CS,Set/3 Small Tin Canisters,Storage & Organization,45.7
78543CT,Green Leaf Print Window Film,Textiles & Linens,45.96
56321CU,Wooden Pegs In A Bag,Unknown Category,70.4
93207CV,Set/4 Coloured Ceramic Egg Cups,Unknown Category,98.48
22045CW,Retro Spotty Storage Tin,Unknown Category,38.4
